,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
57,Khalid,Up All Night,Up All Night,1mpD5Q8IM32I4bF6eCpU74,0.665,0.7120000000000001,1,-7.5360000000000005,1,0.0527,0.0034200000000000003,0.102,0.669,93.98899999999999,157220,4,6
58,Niall Horan,Nice To Meet Ya,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0.0,0.395,0.392,109.03399999999999,158805,4,7
59,Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832000000000001,1,0.0578,0.0,0.0714,0.6940000000000001,112.022,158571,4,6
60,Diplo,Lonely,Lonely,4fwo6czG5nvOQMzhOto1ya,0.738,0.7170000000000001,1,-5.121,1,0.0573,0.0,0.205,0.5,98.04700000000001,139813,4,6
61,ILLENIUM,ASCEND,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,0.40399999999999997,0.8059999999999999,2,-4.75,1,0.0496,0.0,0.114,0.11199999999999999,148.036,220730,4,3
62,Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.0,0.0822,0.575,91.01899999999999,189486,4,6
63,Drax Project,Catching Feelings (feat. Six60),Catching Feelings (feat. Six60),02VHspkXhhH1QCInRWWIfr,0.397,0.524,3,-5.846,1,0.10300000000000001,0.0,0.157,0.34299999999999997,175.562,218854,4,3
64,James Arthur,Treehouse (feat. Shotty Horroh),Treehouse (feat. Shotty Horroh),6S1IgeHxxOT9qVWnmsdGxe,0.691,0.733,6,-5.02,1,0.0368,0.0,0.341,0.797,153.976,219933,4,6
65,Post Malone,Circles,Circles,4VginDwYTP2eaHJzO0QMjG,0.7040000000000001,0.758,0,-3.537,1,0.0402,0.00144,0.0924,0.534,120.00299999999999,214907,4,6
66,Freya Ridings,Castles,Castles,5o8lxcSYAj8uXTiIHoyyA9,0.672,0.752,4,-4.8660000000000005,1,0.0843,0.00047000000000000004,0.055999999999999994,0.429,116.945,211838,4,6
67,Tones And I,Never Seen the Rain,Never Seen the Rain,2grAr8pWMuLWn8ZYEE9wDV,0.485,0.461,9,-5.646,1,0.0444,0.0,0.23199999999999998,0.324,87.009,200756,4,2
68,Andy Grammer,I Found You,I Found You,7jaDLcrbilPxoH4mIcYyB3,0.728,0.701,1,-6.58,1,0.0406,2.08e-05,0.18100000000000002,0.413,137.97,151734,4,6
69,Kygo,Higher Love,Higher Love,6oJ6le65B3SEqPwMRNXWjY,0.693,0.6779999999999999,8,-7.159,1,0.0324,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,228267,4,6
70,The Chainsmokers,World War Joy,Call You Mine,05CwHjIk71RXVU40boRMnR,0.591,0.7020000000000001,7,-5.59,1,0.0289,0.0,0.414,0.501,104.00299999999999,217653,4,5
71,Martin Jensen,Nobody,Nobody,2qfEcCkEo5NscA9GL7ER72,0.6729999999999999,0.687,6,-5.295,0,0.0623,0.0,0.18100000000000002,0.524,96.964,211040,4,7
72,Khalid,Free Spirit,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,0.627,0.446,2,-9.477,0,0.0332,0.0007700000000000001,0.111,0.11,139.994,182080,4,7
73,Gryffin,All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,0.513,0.7879999999999999,0,-4.629,1,0.0364,0.0,0.11,0.23399999999999999,139.987,238459,4,3
74,Dominic Fike,"Don't Forget About Me, Demos",3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.593999999999999,0,0.0897,0.0,0.10400000000000001,0.877,151.891,177667,4,7
75,Hozier,Almost (Sweet Music),Almost (Sweet Music),7nDYw1nNAW4dAqgmW2W3tq,0.384,0.6890000000000001,7,-5.598,1,0.19699999999999998,2.24e-06,0.204,0.7020000000000001,179.82299999999998,217480,4,3
76,Engelwood,Crust Fm,Crystal Dolphin,6kx8Hf1Udk4V0Ivq6zpoyG,0.5670000000000001,0.687,1,-9.041,0,0.125,0.00293,0.474,0.396,128.201,115518,4,5
77,Nelly,Lil Bit,Lil Bit,0NmuYnjETG3u3qx0OmEJev,0.7070000000000001,0.6890000000000001,4,-7.097,0,0.0387,0.0,0.38299999999999995,0.41,119.98700000000001,195962,4,7
78,Ritt Momney,Put Your Records On,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,0.39899999999999997,0.49200000000000005,6,-10.777000000000001,0,0.0538,0.00101,0.11,0.159,91.066,210463,4,2
79,Shawn Mendes,Wonder,Wonder,5KCbr5ndeby4y4ggthdiAb,0.33299999999999996,0.637,1,-4.904,0,0.0581,1.8e-05,0.149,0.132,139.898,172693,4,3
80,Sandro Cavazza,Lean On Me,Lean On Me,43Hit5V2BpPq2vxvca3ysc,0.799,0.419,6,-7.99,1,0.174,0.0,0.203,0.716,156.055,182497,4,6
81,Engelwood,Yacht World,Tasty Jam,6smHuWvMAMQfVO855qtTDw,0.57,0.9520000000000001,7,-5.365,1,0.0855,0.579,0.0907,0.529,191.923,130025,4,3
82,BLACKPINK,THE ALBUM,Bet You Wanna (feat. Cardi B),7iAgNZdotu40NwtoIWJHFe,0.665,0.674,7,-5.188,1,0.161,0.0,0.0734,0.7020000000000001,111.516,159173,4,6
83,Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0.0,0.295,0.6579999999999999,149.836,184905,4,7
84,Ella Henderson,Dream On Me,Dream On Me,6vHE5zEPYdb0HUKRaIQ6tI,0.602,0.636,8,-6.584,1,0.0563,0.0,0.162,0.547,117.962,182276,4,6
85,JVKE,Upside Down,Upside Down,614OkajfRPH8V0ugNQnduP,0.88,0.501,2,-6.774,1,0.062,0.0695,0.436,0.45899999999999996,120.038,114500,4,5
86,Aloe Blacc,Hold On Tight,Hold On Tight,2xytFpmHqcz6UHp1sh0SoR,0.722,0.59,2,-7.5120000000000005,1,0.0435,0.0,0.0793,0.368,104.931,228120,4,6
87,Augustine,Coast - Spotify Studio Oyster Recording,Coast - Spotify Studio Oyster Recording,23KRFSsLa3UQ8FMY6KQ63i,0.8190000000000001,0.655,9,-7.171,1,0.0487,0.00016,0.292,0.6809999999999999,120.01,172718,4,6
88,Kygo,Hot Stuff,Hot Stuff,00ETaeHUQ6lops3oWU1Wrt,0.6809999999999999,0.773,5,-5.749,1,0.14800000000000002,1.28e-06,0.11,0.429,119.961,199008,4,6
89,Keith Urban,One Too Many,One Too Many,5NUXE8W12lWcUXgJRCjeEw,0.6970000000000001,0.535,4,-6.504,1,0.068,0.0,0.569,0.594,82.959,203893,4,5
90,Justin Bieber,Holy,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,0.6729999999999999,0.7040000000000001,6,-8.056000000000001,1,0.36,0.0,0.0898,0.37200000000000005,86.919,212093,4,1
91,Seeb,Colourblind,Colourblind,08AK8kZVQIt5XRjgbbW4c3,0.5579999999999999,0.905,9,-4.121,1,0.0414,0.00055,0.325,0.36200000000000004,102.905,158494,4,6
92,Jawsh 685,Sweet & Sour (feat. Lauv & Tyga),Sweet & Sour (feat. Lauv & Tyga),3ZWhRS2EJVL5B0IEzkcvZa,0.8270000000000001,0.73,1,-5.324,1,0.0934,1.3500000000000001e-05,0.258,0.679,95.00299999999999,163228,4,6
93,HEDEGAARD,Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),4BHOaph5egfjkqM5lPRM1j,0.742,0.7509999999999999,1,-6.1370000000000005,0,0.0622,0.0,0.452,0.175,99.999,189900,4,5
94,Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.6759999999999999,0.7859999999999999,1,-4.529,1,0.0478,0.0,0.0943,0.483,125.98299999999999,218359,4,6
95,HRVY,Good Vibes,Good Vibes,53kWAAfx7IopXRa31MQHB8,0.5579999999999999,0.877,10,-3.392,1,0.145,0.0,0.162,0.762,99.988,170280,4,6
96,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),14ngWWxvUSnIMXgF6rzSk1,0.7979999999999999,0.828,2,-5.36,1,0.193,2.55e-06,0.121,0.6,124.962,156960,4,6
97,BLACKPINK,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),2k0e6dy1tx7fE6m126Ydfw,0.7909999999999999,0.733,9,-3.852,1,0.35,0.000169,0.0423,0.9129999999999999,159.974,175813,4,1
98,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58e-05,0.126,0.322,86.97,191406,4,6
99,Clean Bandit,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0,-3.895,1,0.0344,7.91e-06,0.124,0.946,101.022,178374,4,6
100,BTS,Dynamite,Dynamite,0v1x6rN6JHRapa03JElljE,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4,7
101,Smith & Thell,Year of the Young,Year of the Young,6J7U49QGecWb3WqIqfSYc0,0.611,0.88,7,-6.571000000000001,0,0.0378,1.01e-05,0.0598,0.7709999999999999,144.996,164200,4,7
102,Martin Jensen,At Least I Had Fun,At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,0.794,0.706,5,-6.066,0,0.0382,0.0,0.0536,0.9079999999999999,116.03200000000001,170614,4,7
103,Doja Cat,Freak,Freak,3aA6xB0tOilDDX17fIJ0Bl,0.688,0.716,7,-5.702000000000001,1,0.0385,0.0,0.0989,0.373,116.912,284480,3,0
104,Ava Max,Who's Laughing Now,Who's Laughing Now,73h4oe03sZy8bXfQLfnqMv,0.648,0.6409999999999999,7,-5.521,1,0.0389,3.63e-06,0.109,0.505,184.021,180348,4,3
105,MishCatt,Goofy,Goofy,32zrJNyJdpoMOqW7u3PEgo,0.752,0.636,4,-5.9,0,0.109,0.00237,0.191,0.56,170.11,200977,4,7
106,Master KG,Jerusalema,Jerusalema (feat. Nomcebo Zikode),2MlOUXmcofMackX3bxfSwi,0.88,0.483,1,-7.0120000000000005,1,0.0504,8.75e-06,0.0607,0.8270000000000001,124.009,342613,4,6
107,Dimitri Vegas & Like Mike,Say My Name,Say My Name,3GYlQmwfBDo7imFyGPhrl7,0.7290000000000001,0.7879999999999999,10,-4.832,0,0.0908,0.0,0.115,0.857,118.039,159536,4,7
108,Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582000000000001,0,0.0408,0.0191,0.0814,0.772,114.556,147071,4,7
109,Arizona Zervas,NIGHTRIDER,NIGHTRIDER,72PFP54TZ9Tpj9dYQcb46D,0.66,0.755,0,-4.501,0,0.0469,0.0,0.102,0.862,145.94799999999998,156368,4,7
110,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.040999999999999995,0.0,0.0876,0.753,112.985,190306,4,6
111,Kygo,What's Love Got to Do with It,What's Love Got to Do with It,3Be7CLdHZpyzsVijme39cW,0.75,0.664,8,-5.9079999999999995,0,0.154,0.0,0.0632,0.617,105.023,208156,4,7
112,Little Mix,Holiday,Holiday,44gz3bzhdcGUFgA5oc1wSu,0.7120000000000001,0.6759999999999999,5,-5.965,1,0.184,0.0,0.0669,0.648,106.156,213597,4,6
113,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,1.1400000000000001e-05,0.0489,0.905,122.95299999999999,166028,4,6
114,Katy Perry,Smile,Smile,3DXdjHnePKnh6oXw2ZgGSl,0.7829999999999999,0.912,0,-3.713,1,0.243,0.0,0.33899999999999997,0.7490000000000001,98.025,166898,4,1
115,Seeb,Don't You Wanna Play?,Don't You Wanna Play?,15hhlasuVIxEZ3O0PxlRkT,0.5660000000000001,0.768,2,-4.458,0,0.0312,0.0,0.115,0.638,100.005,138733,4,7
116,The Vamps,Meet The Vamps,Somebody To You,6VrLYoQKdhu1Jruei06t65,0.526,0.818,3,-5.952000000000001,1,0.0358,0.0,0.33299999999999996,0.8959999999999999,171.96,185098,4,3
117,Remi Wolf,I'm Allergic To Dogs!,Hello Hello Hello,1xNknVNOolLB4oQeEtNBX2,0.736,0.669,1,-8.305,1,0.136,0.0,0.22399999999999998,0.797,86.531,172023,4,6
118,Becky Hill,Heaven On My Mind (with Sigala),Heaven On My Mind (with Sigala),7bIq1v8svANsAys7I694Up,0.71,0.8909999999999999,0,-3.116,0,0.0749,0.0,0.365,0.705,125.024,192573,4,7
119,Aloe Blacc,My Way,My Way,67CZNsG3SQ1S8O2BsjTo4R,0.619,0.557,10,-7.461,1,0.0433,0.0,0.11199999999999999,0.37799999999999995,74.007,210227,4,2
120,Charlie Puth,Girlfriend,Girlfriend,1UNs8AlFM8c0uAkSyjIW3P,0.758,0.583,1,-6.361000000000001,1,0.0421,5.12e-05,0.107,0.797,97.537,177438,4,6
121,Robin Schulz,Alane,Alane,2u6Jm2klS4yvAlbSHlxUwI,0.581,0.799,3,-6.66,1,0.16399999999999998,9.43e-06,0.11,0.662,124.00200000000001,175016,4,6
122,Black Eyed Peas,MAMACITA,MAMACITA,14wf185UxfNbSy8dwt4r4q,0.894,0.635,2,-6.928999999999999,1,0.0473,0.00105,0.0823,0.428,105.01299999999999,249143,4,6
123,twocolors,Lovefool,Lovefool,51Of5p3lKZeOg6itfs4og4,0.677,0.7659999999999999,6,-6.896,1,0.0568,6.81e-06,0.129,0.198,123.06200000000001,190488,4,6
124,Peach Tree Rascals,Mariposa,Mariposa,4ja2gzrNh9VNigzoXfmbwD,0.6759999999999999,0.525,9,-5.88,1,0.027999999999999997,0.0,0.35600000000000004,0.42100000000000004,112.01100000000001,210000,4,6
125,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),5T490vvoFNU6psep0NPmxs,0.795,0.48,3,-8.556000000000001,1,0.0688,0.0,0.271,0.723,149.91899999999998,171375,4,6
126,Benjamin Ingrosso,Shampoo,Shampoo,6pk6yfxGcMyeIVqW79iZo1,0.745,0.534,11,-10.815,0,0.102,0.0399,0.20199999999999999,0.655,102.99600000000001,178835,4,7
127,Ella Henderson,Take Care of You,Take Care of You,7GajHE5z66qqmzTrKVFCab,0.66,0.667,11,-6.87,1,0.0474,5.2600000000000005e-05,0.107,0.452,114.90100000000001,194235,4,6
128,Surfaces,Learn To Fly (with Elton John),Learn To Fly,518miTxc3a15X7HB8FgJUW,0.569,0.536,1,-6.1370000000000005,1,0.0819,0.0,0.0655,0.6559999999999999,173.695,209833,4,3
129,Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),6AoHQqGnuwFk9ygWhzLRws,0.73,0.792,6,-5.33,0,0.13,0.0,0.10099999999999999,0.745,99.039,170158,4,7
130,JP Cooper,Little Bit Of Love,Little Bit Of Love - Indian Summer Remix,4WEojtwHd0MUF3sPz5ITAj,0.708,0.758,7,-4.453,1,0.0367,1.04e-05,0.418,0.272,101.01700000000001,205200,4,5
