,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
35,Katy Perry,Daisies,Daisies,4uqh9bualXNHXXwO2wPorc,0.639,0.546,1,-5.382,1,0.0407,0,0.122,0.149,122.179,173124,4
36,Various Artists,SCOOB! The Album,On Me (feat. Ava Max),7k6tAZp4m93oswrPqSfBbc,0.548,0.721,8,-4.466,1,0.0472,0,0.216,0.594,177.918,164683,4
37,Kygo,Lose Somebody,Lose Somebody,7xbWAw3LMgRMn4omR5yVn3,0.58,0.586,1,-6.883,1,0.0357,0,0.0755,0.507,147.988,199549,4
38,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,1,-5.339,1,0.0385,0,0.0914,0.803,96.051,164640,4
39,Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.088,1,0.0457,0,0.0541,0.452,93.995,172762,4
40,PUBLIC,Make You Mine,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,0.606,0.799,9,-4.452,1,0.0261,0,0.15,0.638,103.014,232907,4
41,Alesso,Midnight (feat. Liam Payne),Midnight (feat. Liam Payne),4ZTTUAjJCd4NMZmIU7RB4c,0.587,0.648,11,-6.927,0,0.0439,0,0.115,0.281,144.028,220141,4
42,Kygo,Freedom,Freedom,5Gj1wG8b12VQdEd3hUuSwo,0.715,0.635,7,-6.591,1,0.0791,0,0.0862,0.39,112.887,198635,4
43,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.00188,0.393,0.33,112.05,176547,4
44,FINNEAS,Let’s Fall In Love For The Night,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,0.737,0.408,5,-7.941,1,0.104,0,0.171,0.374,127.921,190348,4
45,Bastille,Joy,Joy,3QpkbrYXtlU3LRJu3sTK6V,0.559,0.915,9,-4.811,1,0.132,0,0.113,0.361,117.914,192523,4
46,OneRepublic,Better Days,Better Days,2K0r5GD5zYlEMx2M7ZMcqG,0.626,0.726,5,-5.015,1,0.0376,0,0.304,0.257,89.132,144530,4
47,Hailee Steinfeld,I Love You’s,I Love You's,28Tv8zltFDr5wBCG3Pfky4,0.682,0.783,8,-4.997,1,0.18,0,0.206,0.323,106.899,216084,4
48,R3HAB,Good Example (with Andy Grammer),Good Example (with Andy Grammer),5SspaMrPfWyRCS0GpjIxa6,0.456,0.496,1,-6.986,1,0.0743,0,0.134,0.45,90.552,149053,4
49,Niall Horan,Heartbreak Weather,Black And White,7rpNuuoMbid56XkDsx2FjE,0.443,0.582,2,-6.02,1,0.0482,0,0.127,0.239,147.589,193090,4
50,John Legend,Conversations in the Dark,Conversations in the Dark - John Legend vs. David Guetta,20d27F17AZOxTJOEHAVK2Y,0.572,0.742,8,-4.589,0,0.0347,0,0.108,0.376,127.19,210236,4
51,Surfaces,Horizons,Take It Easy,5Pgq1Gfeth2CuUhyCXwlfC,0.765,0.689,6,-5.616,1,0.0456,7.39e-06,0.114,0.497,144.958,212850,4
52,Khalid,Know Your Worth,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,0.79,0.694,9,-7.726,0,0.0708,0.00252,0.281,0.508,103.007,181436,4
53,Lauv,~how i'm feeling~,Tattoos Together,0ycFQvBTfuo1LCdG0HhszL,0.862,0.4,4,-7.486,1,0.0736,7.49e-06,0.123,0.596,122.963,186613,4
54,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,9,-7.206,1,0.0629,1.03e-06,0.0773,0.324,113.039,180645,4
55,Harry Styles,Watermelon Sugar,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,0.548,0.816,0,-4.209,1,0.0465,0,0.335,0.557,95.39,174000,4
56,Maren Morris,The Bones (with Hozier),The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,0.561,0.597,11,-6.0,0,0.0405,0,0.0979,0.355,76.826,197299,4
57,Khalid,Up All Night,Up All Night,1mpD5Q8IM32I4bF6eCpU74,0.665,0.712,1,-7.536,1,0.0527,0.00342,0.102,0.669,93.989,157220,4
58,Niall Horan,Nice To Meet Ya,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0,0.395,0.392,109.034,158805,4
59,Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832,1,0.0578,0,0.0714,0.694,112.022,158571,4
60,Diplo,Lonely,Lonely,4fwo6czG5nvOQMzhOto1ya,0.738,0.717,1,-5.121,1,0.0573,0,0.205,0.5,98.047,139813,4
61,ILLENIUM,ASCEND,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,0.404,0.806,2,-4.75,1,0.0496,0,0.114,0.112,148.036,220730,4
62,Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0,0.0822,0.575,91.019,189486,4
63,Drax Project,Catching Feelings (feat. Six60),Catching Feelings (feat. Six60),02VHspkXhhH1QCInRWWIfr,0.397,0.524,3,-5.846,1,0.103,0,0.157,0.343,175.562,218854,4
64,James Arthur,Treehouse (feat. Shotty Horroh),Treehouse (feat. Shotty Horroh),6S1IgeHxxOT9qVWnmsdGxe,0.691,0.733,6,-5.02,1,0.0368,0,0.341,0.797,153.976,219933,4
65,Post Malone,Circles,Circles,4VginDwYTP2eaHJzO0QMjG,0.704,0.758,0,-3.537,1,0.0402,0.00144,0.0924,0.534,120.003,214907,4
66,Freya Ridings,Castles,Castles,5o8lxcSYAj8uXTiIHoyyA9,0.672,0.752,4,-4.866,1,0.0843,0.00047,0.056,0.429,116.945,211838,4
67,Tones And I,Never Seen the Rain,Never Seen the Rain,2grAr8pWMuLWn8ZYEE9wDV,0.485,0.461,9,-5.646,1,0.0444,0,0.232,0.324,87.009,200756,4
68,Andy Grammer,I Found You,I Found You,7jaDLcrbilPxoH4mIcYyB3,0.728,0.701,1,-6.58,1,0.0406,2.08e-05,0.181,0.413,137.97,151734,4
69,Kygo,Higher Love,Higher Love,6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,8,-7.159,1,0.0324,6.05e-06,0.101,0.404,103.952,228267,4
70,The Chainsmokers,World War Joy,Call You Mine,05CwHjIk71RXVU40boRMnR,0.591,0.702,7,-5.59,1,0.0289,0,0.414,0.501,104.003,217653,4
71,Martin Jensen,Nobody,Nobody,2qfEcCkEo5NscA9GL7ER72,0.673,0.687,6,-5.295,0,0.0623,0,0.181,0.524,96.964,211040,4
72,Khalid,Free Spirit,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,0.627,0.446,2,-9.477,0,0.0332,0.00077,0.111,0.11,139.994,182080,4
73,Gryffin,All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,0.513,0.788,0,-4.629,1,0.0364,0,0.11,0.234,139.987,238459,4
74,Dominic Fike,"Don't Forget About Me, Demos",3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.594,0,0.0897,0,0.104,0.877,151.891,177667,4
75,Hozier,Almost (Sweet Music),Almost (Sweet Music),7nDYw1nNAW4dAqgmW2W3tq,0.384,0.689,7,-5.598,1,0.197,2.24e-06,0.204,0.702,179.823,217480,4
0,Engelwood,Crust Fm,Crystal Dolphin,6kx8Hf1Udk4V0Ivq6zpoyG,0.567,0.687,1,-9.041,0,0.125,0.00293,0.474,0.396,128.201,115518,4
1,Nelly,Lil Bit,Lil Bit,0NmuYnjETG3u3qx0OmEJev,0.707,0.689,4,-7.097,0,0.0387,0.0,0.383,0.41,119.987,195962,4
2,Ritt Momney,Put Your Records On,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,0.399,0.492,6,-10.777,0,0.0538,0.00101,0.11,0.159,91.066,210463,4
3,Shawn Mendes,Wonder,Wonder,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1,-4.904,0,0.0581,1.8e-05,0.149,0.132,139.898,172693,4
4,Sandro Cavazza,Lean On Me,Lean On Me,43Hit5V2BpPq2vxvca3ysc,0.799,0.419,6,-7.99,1,0.174,0.0,0.203,0.716,156.055,182497,4
5,Engelwood,Yacht World,Tasty Jam,6smHuWvMAMQfVO855qtTDw,0.57,0.952,7,-5.365,1,0.0855,0.579,0.0907,0.529,191.923,130025,4
6,BLACKPINK,THE ALBUM,Bet You Wanna (feat. Cardi B),7iAgNZdotu40NwtoIWJHFe,0.665,0.674,7,-5.188,1,0.161,0.0,0.0734,0.702,111.516,159173,4
7,Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0.0,0.295,0.658,149.836,184905,4
8,Ella Henderson,Dream On Me,Dream On Me,6vHE5zEPYdb0HUKRaIQ6tI,0.602,0.636,8,-6.584,1,0.0563,0.0,0.162,0.547,117.962,182276,4
9,JVKE,Upside Down,Upside Down,614OkajfRPH8V0ugNQnduP,0.88,0.501,2,-6.774,1,0.062,0.0695,0.436,0.459,120.038,114500,4
10,Aloe Blacc,Hold On Tight,Hold On Tight,2xytFpmHqcz6UHp1sh0SoR,0.722,0.59,2,-7.512,1,0.0435,0.0,0.0793,0.368,104.931,228120,4
11,Augustine,Coast - Spotify Studio Oyster Recording,Coast - Spotify Studio Oyster Recording,23KRFSsLa3UQ8FMY6KQ63i,0.819,0.655,9,-7.171,1,0.0487,0.00016,0.292,0.681,120.01,172718,4
12,Kygo,Hot Stuff,Hot Stuff,00ETaeHUQ6lops3oWU1Wrt,0.681,0.773,5,-5.749,1,0.148,1.28e-06,0.11,0.429,119.961,199008,4
13,Keith Urban,One Too Many,One Too Many,5NUXE8W12lWcUXgJRCjeEw,0.697,0.535,4,-6.504,1,0.068,0.0,0.569,0.594,82.959,203893,4
14,Justin Bieber,Holy,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,0.673,0.704,6,-8.056,1,0.36,0.0,0.0898,0.372,86.919,212093,4
15,Seeb,Colourblind,Colourblind,08AK8kZVQIt5XRjgbbW4c3,0.558,0.905,9,-4.121,1,0.0414,0.00055,0.325,0.362,102.905,158494,4
16,Jawsh 685,Sweet & Sour (feat. Lauv & Tyga),Sweet & Sour (feat. Lauv & Tyga),3ZWhRS2EJVL5B0IEzkcvZa,0.827,0.73,1,-5.324,1,0.0934,1.35e-05,0.258,0.679,95.003,163228,4
17,HEDEGAARD,Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),Alone With You (HEDEGAARD X Conor Maynard feat. Katie Pearlman),4BHOaph5egfjkqM5lPRM1j,0.742,0.751,1,-6.137,0,0.0622,0.0,0.452,0.175,99.999,189900,4
18,Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,1,0.0478,0.0,0.0943,0.483,125.983,218359,4
19,HRVY,Good Vibes,Good Vibes,53kWAAfx7IopXRa31MQHB8,0.558,0.877,10,-3.392,1,0.145,0.0,0.162,0.762,99.988,170280,4
20,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),14ngWWxvUSnIMXgF6rzSk1,0.798,0.828,2,-5.36,1,0.193,2.55e-06,0.121,0.6,124.962,156960,4
21,BLACKPINK,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),2k0e6dy1tx7fE6m126Ydfw,0.791,0.733,9,-3.852,1,0.35,0.000169,0.0423,0.913,159.974,175813,4
22,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58e-05,0.126,0.322,86.97,191406,4
23,Clean Bandit,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0,-3.895,1,0.0344,7.91e-06,0.124,0.946,101.022,178374,4
24,BTS,Dynamite,Dynamite,0v1x6rN6JHRapa03JElljE,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4
25,Smith & Thell,Year of the Young,Year of the Young,6J7U49QGecWb3WqIqfSYc0,0.611,0.88,7,-6.571,0,0.0378,1.01e-05,0.0598,0.771,144.996,164200,4
26,Martin Jensen,At Least I Had Fun,At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,0.794,0.706,5,-6.066,0,0.0382,0.0,0.0536,0.908,116.032,170614,4
27,Doja Cat,Freak,Freak,3aA6xB0tOilDDX17fIJ0Bl,0.688,0.716,7,-5.702,1,0.0385,0.0,0.0989,0.373,116.912,284480,3
28,Ava Max,Who's Laughing Now,Who's Laughing Now,73h4oe03sZy8bXfQLfnqMv,0.648,0.641,7,-5.521,1,0.0389,3.63e-06,0.109,0.505,184.021,180348,4
29,MishCatt,Goofy,Goofy,32zrJNyJdpoMOqW7u3PEgo,0.752,0.636,4,-5.9,0,0.109,0.00237,0.191,0.56,170.11,200977,4
30,Master KG,Jerusalema,Jerusalema (feat. Nomcebo Zikode),2MlOUXmcofMackX3bxfSwi,0.88,0.483,1,-7.012,1,0.0504,8.75e-06,0.0607,0.827,124.009,342613,4
31,Dimitri Vegas & Like Mike,Say My Name,Say My Name,3GYlQmwfBDo7imFyGPhrl7,0.729,0.788,10,-4.832,0,0.0908,0.0,0.115,0.857,118.039,159536,4
32,Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582,0,0.0408,0.0191,0.0814,0.772,114.556,147071,4
33,Arizona Zervas,NIGHTRIDER,NIGHTRIDER,72PFP54TZ9Tpj9dYQcb46D,0.66,0.755,0,-4.501,0,0.0469,0.0,0.102,0.862,145.948,156368,4
34,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0.0,0.0876,0.753,112.985,190306,4
35,Kygo,What's Love Got to Do with It,What's Love Got to Do with It,3Be7CLdHZpyzsVijme39cW,0.75,0.664,8,-5.908,0,0.154,0.0,0.0632,0.617,105.023,208156,4
36,Little Mix,Holiday,Holiday,44gz3bzhdcGUFgA5oc1wSu,0.712,0.676,5,-5.965,1,0.184,0.0,0.0669,0.648,106.156,213597,4
37,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4
38,Katy Perry,Smile,Smile,3DXdjHnePKnh6oXw2ZgGSl,0.783,0.912,0,-3.713,1,0.243,0.0,0.339,0.749,98.025,166898,4
39,Seeb,Don't You Wanna Play?,Don't You Wanna Play?,15hhlasuVIxEZ3O0PxlRkT,0.566,0.768,2,-4.458,0,0.0312,0.0,0.115,0.638,100.005,138733,4
40,The Vamps,Meet The Vamps,Somebody To You,6VrLYoQKdhu1Jruei06t65,0.526,0.818,3,-5.952,1,0.0358,0.0,0.333,0.896,171.96,185098,4
41,Remi Wolf,I'm Allergic To Dogs!,Hello Hello Hello,1xNknVNOolLB4oQeEtNBX2,0.736,0.669,1,-8.305,1,0.136,0.0,0.224,0.797,86.531,172023,4
42,Becky Hill,Heaven On My Mind (with Sigala),Heaven On My Mind (with Sigala),7bIq1v8svANsAys7I694Up,0.71,0.891,0,-3.116,0,0.0749,0.0,0.365,0.705,125.024,192573,4
43,Aloe Blacc,My Way,My Way,67CZNsG3SQ1S8O2BsjTo4R,0.619,0.557,10,-7.461,1,0.0433,0.0,0.112,0.378,74.007,210227,4
44,Charlie Puth,Girlfriend,Girlfriend,1UNs8AlFM8c0uAkSyjIW3P,0.758,0.583,1,-6.361,1,0.0421,5.12e-05,0.107,0.797,97.537,177438,4
45,Robin Schulz,Alane,Alane,2u6Jm2klS4yvAlbSHlxUwI,0.581,0.799,3,-6.66,1,0.164,9.43e-06,0.11,0.662,124.002,175016,4
46,Black Eyed Peas,MAMACITA,MAMACITA,14wf185UxfNbSy8dwt4r4q,0.894,0.635,2,-6.929,1,0.0473,0.00105,0.0823,0.428,105.013,249143,4
47,twocolors,Lovefool,Lovefool,51Of5p3lKZeOg6itfs4og4,0.677,0.766,6,-6.896,1,0.0568,6.81e-06,0.129,0.198,123.062,190488,4
48,Peach Tree Rascals,Mariposa,Mariposa,4ja2gzrNh9VNigzoXfmbwD,0.676,0.525,9,-5.88,1,0.028,0.0,0.356,0.421,112.011,210000,4
49,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),5T490vvoFNU6psep0NPmxs,0.795,0.48,3,-8.556,1,0.0688,0.0,0.271,0.723,149.919,171375,4
50,Benjamin Ingrosso,Shampoo,Shampoo,6pk6yfxGcMyeIVqW79iZo1,0.745,0.534,11,-10.815,0,0.102,0.0399,0.202,0.655,102.996,178835,4
51,Ella Henderson,Take Care of You,Take Care of You,7GajHE5z66qqmzTrKVFCab,0.66,0.667,11,-6.87,1,0.0474,5.26e-05,0.107,0.452,114.901,194235,4
52,Surfaces,Learn To Fly (with Elton John),Learn To Fly,518miTxc3a15X7HB8FgJUW,0.569,0.536,1,-6.137,1,0.0819,0.0,0.0655,0.656,173.695,209833,4
53,Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),6AoHQqGnuwFk9ygWhzLRws,0.73,0.792,6,-5.33,0,0.13,0.0,0.101,0.745,99.039,170158,4
54,JP Cooper,Little Bit Of Love,Little Bit Of Love - Indian Summer Remix,4WEojtwHd0MUF3sPz5ITAj,0.708,0.758,7,-4.453,1,0.0367,1.04e-05,0.418,0.272,101.017,205200,4
55,Sia,Together,Together,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0806,0.0929,0.199,180.007,205208,4
56,Surf Mesa,ily (i love you baby) (Topic Remix) [feat. Emilee],ily (i love you baby) (Topic Remix) [feat. Emilee],4TpXLhpLYQPMHM1A8W9J84,0.797,0.791,11,-4.198,1,0.0432,0.00751,0.0678,0.589,126.004,156960,4
57,Daði Freyr,Think About Things,Think About Things,2iRniYXjMHKmwXqA2jYXP7,0.871,0.341,3,-8.932,0,0.0576,0.000124,0.0838,0.612,127.001,173386,4
58,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.0,0.323,0.646,123.056,182200,4
59,R3HAB,Be Okay (with HRVY),Be Okay (with HRVY),4ztw0mBC6VBiLV79yRHDQW,0.73,0.558,8,-6.535,1,0.0786,0.0,0.128,0.618,100.066,141600,4
60,Various Artists,SCOOB! The Album,On Me (feat. Ava Max),7k6tAZp4m93oswrPqSfBbc,0.548,0.721,8,-4.466,1,0.0472,0.0,0.216,0.594,177.918,164683,4
61,Declan J Donovan,Tangerine Skies,Tangerine Skies,2VvHa9p1kkTmaCMq0exODA,0.756,0.815,6,-5.122,1,0.046,2e-05,0.387,0.927,120.002,192000,4
62,Lennon Stella,Summer Feelings (feat. Charlie Puth),Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,49dFIRQCQxPWgoH0m38XQ5,0.696,0.686,5,-6.113,0,0.0309,0.0,0.174,0.7,115.982,160289,4
63,Dagny,Somebody,Somebody,6pU7kdmhRvhc8twYRl14bD,0.721,0.763,5,-4.748,1,0.0382,0.000238,0.0945,0.436,117.981,194373,4
64,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,1,-5.339,1,0.0385,0.0,0.0914,0.803,96.051,164640,4
65,JP Cooper,Little Bit Of Love,Little Bit Of Love,0VrgIjDkmDwlgZk54Try2u,0.659,0.801,7,-4.234,1,0.0435,0.0,0.341,0.334,105.991,195452,4
66,NOTD,I Don't Know Why,I Don't Know Why,0ZXdzaT1k688dkpNeEgQiV,0.499,0.898,8,-4.181,0,0.124,7.2e-06,0.0832,0.618,120.04,207668,4
67,John De Sohn,Lovers For The Weekend,Lovers For The Weekend,7FvfODgUxsxQNDaYDEboIL,0.571,0.775,3,-8.608,1,0.0477,8.99e-06,0.156,0.384,105.951,170947,4
68,Cheat Codes,On My Life,On My Life,6nnntyJFxLzaCmNnhHe3C1,0.699,0.645,9,-5.307,1,0.078,0.0,0.355,0.676,104.939,179340,4
